"4","@Dr3ezii you'll prolly wake up 2 this tweet..Hope ur day is gud and S T R E S S F R E E lol  text me."
"4","has planned the young adult retreat with Valerie...and finally it's come! Going to be in Santa Cruz with bible study pals this weekend "
"4","@AubreyODay Aubrey u gotta follow me  and r u still singing or what???"
"4","@Ammirelle  I love you "
"4","The Gossip Girl season finale was AMAZING! I can't believe Dan and Serena's brother found them   Watching CSI:NY now "
"4","@leafletter grats on all that "
"4","@steph_davies Yeah. "
"4","My shortest workout of the week but yet the one that had me sweat the most. Time to shower "
"4","Heh got my sister using a Linux liveCD on her school laptop till she can have it sent in or they give me a xp serial "
"4","is really looking forward to seeing @TheConeZone &quot;Tonight Show&quot; premiere LIVE in the audeince!  "
"4","Is off to see amy! i've missed amy like so much too! and we get to watch twilight! what a great night! "
"4","@GABBYiSACTiVE starbucks open this late? Lucky u "
"4","@ticklemeAli do it all for the paper staxx! "
"4","shopping "
"4","@SupriyaMM not good. It's ~4:40pm here now....so really I can knock off in about 1/2 hr "
"4","@sleepycatt yep, they are. Hopefully later this week  Hope your leg's feeling better."
"4","DJ Dax - The one who had the mad skills at school tonight! Check him out!  http://www.myspace.com/daxlewin"
"4","@MsBlackFoto I receive your DM but I cannot reply bcause u r not following me. Anyway thank you "
"4","@tehlike Ok now it's serializing...now I just have to deserialize the interceptor and this LinFu 2.0 will have a serializable proxy "
"4","@realin Thanks ji, tussi great ho "
"4","@taylorswift13 so i just got back from your show in az...one word amazing "
"4","@jawjjj great when you bake I will want to sample everything, not good "
"4","Graduation party was a success.  I cleaned up everything &amp; now looking at the pictures I took."
"4","@BethxCore Hello, thanxx for the follow, how are you?  "
"4","@pawwycute i love this song! "
"4","says good morning loves! Woke up to THE most glowing feedback in Black Daisy. I'm sailing high.  http://plurk.com/p/veog3"
"4","Night tweet-a-leets  I have to find salim now !"
"4","@supahdupahwoah hey dude! I miss the David-David concert. David Archuleta was so cute. :d I hope they would come back here soon. "
"4","@mizselle we're going to SD to shoot my friend's engagement photos.. also for DISNEYLAND "
"4","i`m so bored. :| hmpf. btw, i`m done editing some pics.  weeee. )"
"4","This woman is speaking Japanese to me..ummm, slow down..slow down.. Precious moments..! "
"4","One more day of school and then a week off  I really need a tan!!!"
"4","and www.asiaclassifiedtoday.com its all about free posting of ads in the philippines and in asia if u like to post some  thanks"
"4","Just got back after a week and a half away from work. Still ... am really looking forward to a long weekend! "
"4","@mikesage86 lol ur prob gona think its lame but im going to the Pussycat dolls concert tmrw night  thats my highlight. wat bout u?"
"4","Home with babes "
"4","Wooohoo! Waaaarrr! http://bit.ly/gbbpz  Weapon of choice: SoapUI  But first Groovy for token,token,token, @#$%Token"
"4","WishEveryoneandMeGoodLuck! See Yah Twitter in 40 Hrs.! "
"4","Pendulum's on   another plus to it: IT'S A LIVE VIDEO!!! &lt;3 the live video's "
"4","Up since 7:00 am. Waaaay too early. [= Shopping today. I ? shoes.  SOme nice Nikes would be fine. I want that txt thing in germany! xD &lt;3"
"4","Weekend... YAY! Cold... YAY! Much yayness going on here "
"4","@TahneishaN  thanks Mama T"
"4","@JayLostprophets thanks for the help. It's 4.98 on amazon so i'll go for that "
"4","@amilya and thanks 4 sending hugs! I needed them "
"4","@Jonasbrothers I hope the guy from the road, the one that made you do the Yingo signal (Y), make you laght, I hope you came back to Chile "
"4","Ugh. I need to sleep. Goodnight. "
"4","@AngMoGirl sounds like singaporeans alright =p breatheeee "
"4","I have the sweetest boyfriend ever "
"4","I'm craving poison kisses. In the rain. "
"4","Time to turn in.  Goodnight, Tweeties...hasta luego "
"4","@beist thank you thank you! "
"4","@RadiumX have fun catch ya later "
"4","I love a boy who likes animals, especially dogs. Makes him that much hotter. "
"4","@jeremi not really... they don't need such publicity i guess. "
"4","@pocketedward but your one of the most loved action figures tho "
"4","http://twitpic.com/5ofuy - Me getting ready for the last time,looking like a right herbert "
"4","@hot_biscuits cool thanks "
"4","@jaykpurdy Damn When Youre Sleeping You Look Sooooooo  Damn HOT !! Well You Always Do Look Hot  !!... Love You So !! Liva __X"
"4","http://twitpic.com/5ofv3 - @ejr44 your pix slightly changed; what do you think ? "
"4","Hi @midlifechick: Found you through @MrTweet. "
"4","@sruthyskhan any invites going out for todays lunch???? am interested "
"4","@wetaworkshop Loved the last podcast! Richard mentioned some exciting stuff, and Shane is such a cool Kiwi. Nice job "
"4","hahaha. i'm still learning about twitter... "
"4","Be hopeful that God has a purpose for everything that we go through!  He will help us rise above everything! "
"4"," tonight was a good night."
"4","Dyed my hair blonde again for the spring!! Goodnight tweets... New blog post by tomorrow night "
"4","haha bus ride home was sooo freaking fun. I made friends with everyone  bahaha"
"4","@urbanflowrchild follow @danielspengies  join the conversation."
"4","@Mihnea One hand raised tonight at #OC2009, can't wait "
"4","http://twitpic.com/5ofu1 mie bakso laksana! the oldest and bestest mie cina sunda in all of tasik  u just cant stop eating here!!"
"4","@malkavscell yes, I can see that. "
"4","Oops......@zoriancrx  #followfriday #followlove"
"4","See you people later, sleepy now ~_~ Gnight / Morning, it's pretty early right now "
"4","@ArabGirlALWZ i wanna tell @BLAHSODMG but i can't or it'll ruin the secret "
"4","MDW !! WildNess "
"4","what...a....nice...day. It will be a calm, happy one "
"4","http://twitpic.com/5oft1 - This is about 1977. Check out those shoes...  "
"4","Thank god it's Friday, bring on the bank holiday festivities "
"4","is re-reading Harry Potter and the Deathly Hallows "
"4","@hyraxmedia No problem, will have a good play with everything over the extended weekend and let you know if i find any problems "
"4","@HawaiiRealty Goodnight my friend! Sweet dreams! God Bless! "
"4","@Ithildyn and that's why I was musing about cat dancing "
"4","@dnixx Heh, at least the proceeds from the downloads are going to a good cause. "
"4","http://twitpic.com/5ofvq - This is our backyard before... We Have Chickens...  Whoot!"
